kind,code,season,share,lower,upper,rate,n
activity,eating_outdoors,all,0.2100,0.1722,0.2478,0.75,2847
activity,home_indoors,all,0.1600,0.1312,0.1888,0.2,2847
activity,commuting_walking,all,0.1400,0.1148,0.1652,0.45,2847
activity,dog_walking,all,0.1200,0.0984,0.1416,0.85,2847
activity,gardening,all,0.1100,0.0902,0.1298,1,2847
activity,sport,all,0.0800,0.0656,0.0944,0.6,2847
activity,beach_pool,all,0.0700,0.0574,0.0826,0.35,2847
activity,playground,all,0.0600,0.0492,0.0708,0.8,2847
activity,other,all,0.0500,0.0410,0.0590,0.4,2847
activity,eating_outdoors,summer,0.2200,0.1804,0.2596,,2190
activity,home_indoors,summer,0.1500,0.1230,0.1770,,2190
activity,commuting_walking,summer,0.1300,0.1066,0.1534,,2190
activity,dog_walking,summer,0.1200,0.0984,0.1416,,2190
activity,gardening,summer,0.1100,0.0902,0.1298,,2190
activity,sport,summer,0.0800,0.0656,0.0944,,2190
activity,beach_pool,summer,0.0800,0.0656,0.0944,,2190
activity,playground,summer,0.0600,0.0492,0.0708,,2190
activity,other,summer,0.0500,0.0410,0.0590,,2190
activity,home_indoors,rest,0.2200,0.1804,0.2596,,657
activity,commuting_walking,rest,0.1900,0.1558,0.2242,,657
activity,eating_outdoors,rest,0.1500,0.1230,0.1770,,657
activity,dog_walking,rest,0.1300,0.1066,0.1534,,657
activity,gardening,rest,0.1200,0.0984,0.1416,,657
activity,sport,rest,0.0800,0.0656,0.0944,,657
activity,playground,rest,0.0500,0.0410,0.0590,,657
activity,other,rest,0.0500,0.0410,0.0590,,657
activity,beach_pool,rest,0.0100,0.0082,0.0118,,657
place_type,home_garden_balcony,all,0.2900,0.2378,0.3422,,2847
place_type,home_indoors,all,0.1500,0.1230,0.1770,,2847
place_type,park,all,0.1300,0.1066,0.1534,,2847
place_type,street,all,0.1200,0.0984,0.1416,,2847
place_type,restaurant_terrace,all,0.0900,0.0738,0.1062,,2847
place_type,countryside,all,0.0800,0.0656,0.0944,,2847
place_type,beach,all,0.0500,0.0410,0.0590,,2847
place_type,workplace,all,0.0500,0.0410,0.0590,,2847
place_type,school,all,0.0400,0.0328,0.0472,,2847
place_type,home_garden_balcony,summer,0.3000,0.2460,0.3540,,2190
place_type,home_indoors,summer,0.1400,0.1148,0.1652,,2190
place_type,park,summer,0.1300,0.1066,0.1534,,2190
place_type,street,summer,0.1100,0.0902,0.1298,,2190
place_type,restaurant_terrace,summer,0.1000,0.0820,0.1180,,2190
place_type,countryside,summer,0.0800,0.0656,0.0944,,2190
place_type,beach,summer,0.0600,0.0492,0.0708,,2190
place_type,workplace,summer,0.0500,0.0410,0.0590,,2190
place_type,school,summer,0.0300,0.0246,0.0354,,2190
place_type,home_garden_balcony,rest,0.2700,0.2214,0.3186,,657
place_type,home_indoors,rest,0.2200,0.1804,0.2596,,657
place_type,street,rest,0.1500,0.1230,0.1770,,657
place_type,park,rest,0.1300,0.1066,0.1534,,657
place_type,countryside,rest,0.0800,0.0656,0.0944,,657
place_type,restaurant_terrace,rest,0.0600,0.0492,0.0708,,657
place_type,workplace,rest,0.0500,0.0410,0.0590,,657
place_type,school,rest,0.0300,0.0246,0.0354,,657
place_type,beach,rest,0.0100,0.0082,0.0118,,657
