h3,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
873944000ffffff,0.0319,0.0533,0.167,1.03,2.21,2.62,8.73,9.79,11,7.21,2.74,0.133,high
873944001ffffff,0.323,0.525,1.44,5.56,9.23,10.2,20.4,21.9,23.4,18.4,9.79,1.14,high
873944002ffffff,0.0246,0.041,0.128,0.797,1.73,2.06,7.09,8.01,9.02,5.83,2.16,0.102,high
873944003ffffff,0.0258,0.043,0.134,0.833,1.8,2.15,7.41,8.35,9.41,6.06,2.26,0.107,high
873944004ffffff,0.234,0.388,1.16,5.54,9.86,10.9,21.8,23.3,24.8,19.8,10.4,0.914,high
873944005ffffff,0.0621,0.103,0.32,1.87,3.86,4.51,13.2,14.6,16.2,11.2,4.59,0.255,high
873944006ffffff,0.0225,0.0376,0.117,0.734,1.6,1.9,6.48,7.36,8.28,5.39,1.99,0.0937,high
873944008ffffff,0.0267,0.0445,0.139,0.861,1.87,2.22,7.66,8.63,9.72,6.26,2.34,0.111,high
873944009ffffff,0.0236,0.0394,0.123,0.758,1.64,1.95,6.75,7.57,8.56,5.5,2.07,0.0983,high
87394400affffff,0.0389,0.0649,0.201,1.18,2.45,2.86,8.51,9.42,10.5,7.17,2.91,0.16,high
87394400bffffff,0.0231,0.0386,0.121,0.745,1.61,1.93,6.68,7.49,8.48,5.44,2.04,0.0963,high
87394400cffffff,0.0264,0.0441,0.138,0.852,1.85,2.2,7.54,8.49,9.57,6.18,2.31,0.11,high
87394400dffffff,0.0294,0.0491,0.153,0.946,2.04,2.43,8.31,9.33,10.5,6.81,2.57,0.122,high
87394400effffff,0.0404,0.0674,0.21,1.26,2.65,3.11,9.63,10.7,11.9,8.07,3.2,0.167,high
873944010ffffff,0.0273,0.0456,0.143,0.891,1.94,2.31,7.72,8.63,9.82,6.48,2.4,0.114,high
873944011ffffff,0.0283,0.0472,0.148,0.921,2.01,2.39,8.06,9.02,10.2,6.72,2.49,0.118,high
873944012ffffff,0.109,0.182,0.559,3.15,6.33,7.31,19.1,20.8,22.9,16.8,7.24,0.444,high
873944013ffffff,0.0416,0.0693,0.217,1.35,2.92,3.48,11.3,12.6,14.2,9.54,3.59,0.173,high
873944014ffffff,0.121,0.201,0.617,3.41,6.69,7.63,18,19.4,21.1,16.1,7.41,0.49,high
873944015ffffff,0.0773,0.128,0.39,2.08,4.04,4.61,11.8,13,14.3,10.3,4.56,0.309,high
873944016ffffff,0.0411,0.0685,0.214,1.32,2.84,3.37,10.6,11.8,13.3,9.03,3.46,0.17,high
873944018ffffff,0.0266,0.0443,0.139,0.863,1.88,2.24,7.7,8.59,9.72,6.32,2.34,0.111,high
873944019ffffff,0.024,0.0401,0.125,0.781,1.7,2.03,7.01,7.82,8.87,5.74,2.13,0.1,high
87394401affffff,0.128,0.211,0.632,3.18,6.05,6.89,17.4,18.9,20.7,15.1,6.81,0.501,high
87394401bffffff,0.0258,0.0431,0.135,0.838,1.83,2.18,7.45,8.31,9.41,6.12,2.27,0.107,high
87394401cffffff,0.0344,0.0574,0.179,1.1,2.36,2.79,8.96,9.93,11.1,7.47,2.88,0.143,high
87394401dffffff,0.0267,0.0446,0.139,0.866,1.88,2.24,7.7,8.62,9.74,6.32,2.35,0.111,high
87394401effffff,0.0279,0.0465,0.145,0.905,1.97,2.35,8.03,8.95,10.1,6.61,2.45,0.116,high
873944020ffffff,0.0197,0.0329,0.103,0.644,1.4,1.67,5.74,6.54,7.36,4.77,1.75,0.0821,high
873944021ffffff,0.021,0.035,0.109,0.679,1.47,1.76,6.13,6.93,7.82,5,1.85,0.0873,high
873944022ffffff,0.0177,0.0296,0.0925,0.579,1.26,1.5,5.2,5.93,6.68,4.31,1.58,0.0738,high
873944023ffffff,0.0315,0.0525,0.164,1.01,2.17,2.57,8.39,9.42,10.5,6.99,2.67,0.131,high
873944024ffffff,0.0172,0.0288,0.09,0.563,1.23,1.46,5.08,5.83,6.55,4.2,1.53,0.0718,high
873944025ffffff,0.0181,0.0303,0.0947,0.59,1.29,1.53,5.34,6.11,6.86,4.38,1.61,0.0755,high
873944026ffffff,0.0414,0.0689,0.212,1.22,2.47,2.85,7.79,8.64,9.51,6.75,2.85,0.169,high
873944028ffffff,0.027,0.0451,0.141,0.873,1.89,2.25,7.75,8.74,9.84,6.35,2.37,0.112,high
873944029ffffff,0.0274,0.0457,0.143,0.881,1.91,2.27,7.76,8.72,9.82,6.35,2.39,0.114,high
87394402affffff,0.269,0.436,1.19,4.56,7.71,8.57,18.5,20,21.5,16.5,8.36,0.937,high
87394402bffffff,0.0328,0.0548,0.171,1.06,2.28,2.71,9.16,10.3,11.6,7.54,2.84,0.137,high
87394402cffffff,0.023,0.0384,0.12,0.744,1.61,1.92,6.65,7.51,8.46,5.43,2.02,0.0957,high
87394402dffffff,0.0258,0.0431,0.135,0.831,1.79,2.13,7.21,8.14,9.13,5.93,2.24,0.107,high
87394402effffff,0.025,0.0417,0.13,0.807,1.75,2.08,7.18,8.09,9.12,5.88,2.19,0.104,high
873944030ffffff,0.0238,0.0397,0.124,0.772,1.67,1.98,6.57,7.43,8.32,5.51,2.06,0.0989,high
873944031ffffff,0.0383,0.0639,0.199,1.23,2.65,3.13,10,11.3,12.6,8.49,3.24,0.159,high
873944032ffffff,0.0259,0.0433,0.135,0.836,1.8,2.13,6.85,7.72,8.6,5.79,2.2,0.108,high
873944033ffffff,0.0277,0.0462,0.144,0.896,1.94,2.3,7.57,8.56,9.57,6.36,2.39,0.115,high
873944034ffffff,0.0127,0.0211,0.0661,0.414,0.905,1.08,3.76,4.3,4.85,3.11,1.13,0.0527,high
873944035ffffff,0.0251,0.042,0.131,0.814,1.76,2.09,6.91,7.82,8.76,5.8,2.17,0.104,high
873944036ffffff,0.039,0.0651,0.203,1.23,2.59,3.04,9.01,10.1,11.1,7.76,3.09,0.161,high
873944040ffffff,0.0359,0.0598,0.187,1.14,2.44,2.92,9.56,10.7,11.9,7.87,3.05,0.149,high
873944041ffffff,0.0309,0.0516,0.161,0.981,2.1,2.52,8.26,9.27,10.3,6.8,2.64,0.129,medium
873944042ffffff,0.0248,0.0413,0.129,0.793,1.71,2.05,7.01,7.88,8.86,5.71,2.17,0.103,high
873944043ffffff,0.0209,0.0349,0.109,0.671,1.45,1.75,6,6.78,7.6,4.88,1.84,0.0871,high
873944044ffffff,0.0676,0.113,0.35,2.07,4.32,5.07,14.8,16.3,18,12.6,5.2,0.279,high
873944045ffffff,0.0264,0.044,0.137,0.84,1.81,2.17,7.25,8.16,9.11,5.94,2.28,0.11,medium
873944046ffffff,0.0284,0.0475,0.148,0.912,1.97,2.35,8.04,9,10.2,6.56,2.49,0.118,high
873944048ffffff,0.0645,0.107,0.332,1.92,3.91,4.59,12.4,13.6,14.8,10.7,4.61,0.265,high
873944049ffffff,0.0231,0.0385,0.12,0.734,1.58,1.93,6.3,7.15,7.85,5.14,1.98,0.096,high
87394404affffff,0.0193,0.0322,0.1,0.615,1.32,1.59,5.36,6.04,6.75,4.38,1.67,0.0802,high
87394404bffffff,0.0228,0.038,0.118,0.712,1.51,1.81,5.67,6.36,7,4.7,1.87,0.0945,high
87394404cffffff,0.0264,0.0441,0.138,0.842,1.81,2.17,7.22,8.12,9.05,5.92,2.28,0.11,high
87394404dffffff,0.0686,0.114,0.352,1.99,4,4.67,12,13.1,14.2,10.4,4.64,0.281,high
87394404effffff,0.0559,0.0933,0.289,1.68,3.45,4.05,11.2,12.3,13.4,9.57,4.09,0.23,high
873944050ffffff,0.0179,0.0298,0.0933,0.576,1.25,1.49,5.21,5.86,6.64,4.23,1.58,0.0744,high
873944051ffffff,0.0186,0.0311,0.0973,0.599,1.3,1.55,5.39,6.05,6.86,4.38,1.64,0.0776,high
873944052ffffff,0.0528,0.0877,0.267,1.44,2.81,3.23,8.5,9.3,10.3,7.24,3.19,0.212,high
873944053ffffff,0.0895,0.149,0.456,2.5,4.9,5.63,13.8,14.9,16.2,12.1,5.54,0.362,high
873944054ffffff,0.025,0.0417,0.13,0.801,1.73,2.06,7.09,7.94,8.98,5.78,2.18,0.104,high
873944055ffffff,0.0261,0.0435,0.136,0.836,1.8,2.15,7.35,8.22,9.29,6,2.27,0.109,high
873944056ffffff,0.0211,0.0353,0.11,0.68,1.47,1.76,6.11,6.86,7.77,4.96,1.86,0.088,high
873944058ffffff,0.0159,0.0266,0.0831,0.513,1.11,1.34,4.68,5.29,5.95,3.78,1.41,0.0664,high
873944059ffffff,0.0149,0.0249,0.0777,0.478,1.03,1.24,4.28,4.84,5.43,3.48,1.31,0.062,high
87394405affffff,0.0181,0.0303,0.0947,0.587,1.29,1.56,5.45,6.08,6.9,4.36,1.61,0.0755,high
87394405bffffff,0.0179,0.0299,0.0935,0.58,1.27,1.54,5.38,6.01,6.82,4.31,1.59,0.0746,high
87394405cffffff,0.0311,0.0518,0.161,0.945,1.96,2.33,6.95,7.74,8.55,5.81,2.38,0.128,high
87394405dffffff,0.013,0.0218,0.068,0.419,0.908,1.1,3.84,4.35,4.89,3.1,1.16,0.0543,high
87394405effffff,0.0219,0.0365,0.114,0.701,1.52,1.82,6.2,6.95,7.82,5.04,1.91,0.091,high
873944060ffffff,0.0218,0.0363,0.114,0.701,1.52,1.84,6.23,7.23,7.97,5.11,1.91,0.0906,medium
873944061ffffff,0.0248,0.0414,0.13,0.798,1.73,2.11,7.07,8.2,8.95,5.78,2.17,0.103,high
873944062ffffff,0.0307,0.0513,0.16,0.984,2.12,2.53,8.6,9.65,10.9,7.04,2.67,0.128,high
873944063ffffff,0.0258,0.043,0.134,0.827,1.79,2.16,7.32,8.34,9.27,5.98,2.26,0.107,high
873944064ffffff,0.0234,0.039,0.122,0.751,1.63,1.96,6.6,7.64,8.41,5.43,2.04,0.0973,medium
873944065ffffff,0.0202,0.0337,0.105,0.651,1.42,1.71,5.82,6.77,7.43,4.76,1.78,0.0841,high
873944066ffffff,0.0285,0.0475,0.149,0.91,1.97,2.36,7.76,8.93,9.82,6.42,2.45,0.118,medium
873944068ffffff,0.0339,0.0565,0.176,1.05,2.22,2.66,8.03,9.12,9.9,6.73,2.7,0.14,high
873944069ffffff,0.0886,0.147,0.453,2.5,4.95,5.74,13.5,14.8,15.6,11.9,5.54,0.36,high
