municipality_code,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
080018,0.0436,0.0725,0.225,1.35,2.88,3.46,9.54,10.6,11.9,8.37,3.33,0.18,high
080023,0.0125,0.0209,0.0653,0.407,0.879,1.06,3.55,4.09,4.64,3.03,1.11,0.0521,medium
080039,0.0319,0.0531,0.166,1.04,2.4,2.82,7.78,8.67,10.6,7.45,2.74,0.132,high
080044,0.0143,0.0238,0.0743,0.455,0.984,1.21,3.94,4.71,5.09,3.28,1.25,0.0593,low
080057,0.174,0.288,0.866,4.37,8.25,9.4,20.5,21.8,23.6,18.3,8.87,0.687,high
080060,0.0835,0.139,0.429,2.5,5.37,6.27,14.7,16.1,18.1,13.6,5.78,0.342,high
080076,0.0262,0.0435,0.134,0.757,1.6,1.88,4.8,5.36,6.23,4.35,1.75,0.106,high
080082,0.0118,0.0197,0.0615,0.382,0.817,0.987,3.27,3.75,4.33,2.81,1.05,0.0491,medium
080095,0.043,0.0716,0.222,1.33,2.94,3.44,8.9,9.8,11.4,8.21,3.25,0.177,high
080109,0.101,0.168,0.51,2.67,5.13,5.83,14.5,15.9,17.3,12.7,5.75,0.404,high
080116,0.0226,0.0378,0.118,0.716,1.51,1.77,5.71,6.67,7.53,4.96,1.94,0.0942,medium
080121,0.0203,0.034,0.106,0.658,1.43,1.7,5.85,6.66,7.48,4.8,1.79,0.0847,medium
080137,0.0291,0.0484,0.15,0.888,1.92,2.33,6.59,7.39,8.74,5.84,2.22,0.12,high
080142,0.0137,0.0228,0.0714,0.438,0.947,1.16,3.94,4.49,4.97,3.18,1.2,0.057,high
080155,0.0417,0.0692,0.213,1.21,2.54,2.92,6.86,7.53,8.96,6.64,2.76,0.169,high
080168,0.00965,0.0161,0.0503,0.305,0.639,0.752,2.37,2.81,3.21,2.16,0.845,0.0402,medium
080174,0.0458,0.0763,0.236,1.37,2.82,3.33,9.52,10.5,11.6,8.06,3.38,0.188,high
080180,0.0326,0.0542,0.166,0.931,1.87,2.15,6.12,6.9,7.59,5.25,2.17,0.132,medium
080193,0.0556,0.0925,0.287,1.71,3.76,4.52,11.9,13.3,16,11.2,4.29,0.229,high
080207,0.0812,0.132,0.37,1.63,3.16,3.77,9.06,10.2,12,8.28,3.47,0.294,high
080214,0.00965,0.0161,0.0504,0.313,0.669,0.805,2.78,3.17,3.68,2.34,0.866,0.0402,low
080229,0.123,0.204,0.612,3.05,5.63,6.3,14.3,16,17.3,13.1,6.37,0.486,high
080235,0.15,0.247,0.724,3.46,6.46,7.38,16.9,18.2,19.6,14.9,7.1,0.573,high
080240,0.0132,0.0221,0.0689,0.422,0.907,1.1,3.63,4.33,4.77,3.06,1.16,0.055,medium
080253,0.0286,0.0476,0.147,0.871,1.83,2.16,6.52,7.24,8.24,5.57,2.16,0.117,high
080266,0.0165,0.0275,0.0859,0.528,1.14,1.41,4.76,5.44,6.01,3.84,1.45,0.0686,medium
080272,0.0118,0.0197,0.0617,0.389,0.859,1.05,3.48,3.93,4.59,2.97,1.06,0.0493,medium
080288,0.0444,0.0738,0.229,1.33,2.75,3.23,8.44,9.33,10.5,7.53,3.13,0.182,high
080291,0.0686,0.114,0.356,2.21,5.11,5.94,15.5,17.3,20.7,15,5.73,0.284,high
080305,0.153,0.254,0.778,4.29,8.88,10,20.7,22.4,25.6,20.2,9.23,0.618,high
080312,0.0128,0.0214,0.0669,0.412,0.88,1.06,3.4,3.89,4.43,2.94,1.11,0.0533,low
080327,0.0402,0.0671,0.21,1.33,3.1,3.74,11.6,13.1,15.5,10.3,3.61,0.167,high
080333,0.249,0.404,1.11,4.36,7.4,8.24,16.7,17.8,19.7,15.2,7.76,0.878,high
080348,0.103,0.168,0.47,2,3.61,4.09,10.4,11.5,12.6,8.97,4.08,0.372,high
080351,0.172,0.285,0.866,4.67,9.24,10.6,24.4,27,29.9,22.4,10,0.687,high
080364,0.00701,0.0117,0.0366,0.227,0.488,0.592,1.99,2.3,2.63,1.7,0.627,0.0292,low
080370,0.0238,0.0397,0.124,0.753,1.62,1.98,6.16,7.08,7.71,5.14,2,0.0988,medium
080386,0.0956,0.157,0.455,1.99,3.4,3.75,7.74,8.48,9.1,7.02,3.59,0.359,medium
080399,0.338,0.546,1.47,6.02,10.9,12.7,28.4,30.9,33.1,24.9,11.8,1.17,high
080403,0.0355,0.0592,0.185,1.15,2.63,3.15,9.06,10.2,11.9,8.15,3,0.147,high
080410,0.0438,0.073,0.227,1.4,3.11,3.65,10.6,11.7,13.9,9.5,3.54,0.181,high
080425,0.0944,0.156,0.467,2.35,4.51,5.29,13.7,14.9,16.3,11.5,5.07,0.37,high
080431,0.104,0.172,0.52,2.79,5.55,6.51,15.5,16.9,19.5,14.4,6.15,0.414,high
080446,0.154,0.256,0.783,4.24,8.23,9.43,20.9,22.6,24.7,19.1,8.89,0.622,high
080459,0.0115,0.0192,0.06,0.366,0.775,0.901,3.02,3.54,4.08,2.64,1.02,0.0479,medium
080462,0.0567,0.0943,0.291,1.69,3.63,4.27,11.4,12.6,14.4,10.2,4.05,0.231,high
080478,0.00944,0.0158,0.0493,0.305,0.655,0.779,2.65,3.07,3.43,2.22,0.825,0.0393,medium
080484,0.0181,0.0302,0.0942,0.584,1.26,1.52,4.96,5.58,6.47,4.2,1.56,0.0752,medium
080497,0.0224,0.0374,0.117,0.718,1.54,1.82,5.95,6.88,7.71,5.03,1.91,0.0931,medium
080500,0.0109,0.0182,0.0567,0.346,0.734,0.854,2.86,3.37,3.87,2.5,0.962,0.0453,medium
080517,0.0316,0.0526,0.163,0.969,2.05,2.42,6.83,7.48,8.47,5.86,2.37,0.13,high
