id,type,year,authors,title,venue,doi,url,open_access_url
dekramanjian-2026-regulatory-focus,article,2026,Dekramanjian B,Dispositional regulatory focus in citizen science: Implications for engagement in environmental and public health monitoring,Sustainable Futures,10.1016/j.sftr.2026.101656,https://www.sciencedirect.com/science/article/pii/S2666188826000158,https://hdl.handle.net/10230/73331
ibanez-justicia-2026-albopictus-netherlands,article,2026,"Ibáñez-Justicia A, Lucati F, Lesiczka PM, Warbroek T, Ontiveros VJ, Caner J, Bueno-Marí R, Aranda C, Albieri A, van de Vossenberg B, et al.","Evidence of kinship, overwintering, and Wolbachia presence in Aedes albopictus in urban areas and points of entry in the Netherlands",Parasites & Vectors,10.1186/s13071-026-07415-z,https://link.springer.com/article/10.1186/s13071-026-07415-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC13263923/
gonzalez-perez-2026-activity-rhythms,article,2026,"González-Pérez MI, Cerecedo-Iglesias C, Richter-Boix A, Barahona L, Montalvo T, Palmer JRB, Bartumeus F",Unravelling the activity rhythms of urban vector mosquitoes with smart-trap technology,Scientific Reports,10.1038/s41598-026-38795-y,https://www.nature.com/articles/s41598-026-38795-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC12992545/
ottow-2025-heterogeneity,article,2025,Ottow R,A systematic approach to classifying and evaluating heterogeneity measures,Royal Society Open Science,10.1098/rsos.242047,https://royalsocietypublishing.org/doi/10.1098/rsos.242047,https://pmc.ncbi.nlm.nih.gov/articles/PMC12539960/
otani-2025-bacterial-communities,preprint,2025,"Otani S, Lucati F, Eberhardt R, Møller FD, Caner J, Bakran-Lebl K, Montarsi F, Westby KM, González MA, Soltész Z, et al.",Mosquito bacterial communities show stage-specific patterns relevant for vector ecology and AMR surveillance,Research Square,10.21203/rs.3.rs-7544775/v1,https://www.researchsquare.com/article/rs-7544775/v1,https://www.researchsquare.com/article/rs-7544775/v1
padilla-pozo-2024-sampling-bias,article,2024,"Padilla-Pozo Á, Bartumeus F, Montalvo T, Sanpera-Calbet I, Valsecchi A, Palmer JRB",Assessing and correcting neighborhood socioeconomic spatial sampling biases in citizen science mosquito data collection,Scientific Reports,10.1038/s41598-024-73416-6,https://www.nature.com/articles/s41598-024-73416-6,https://pmc.ncbi.nlm.nih.gov/articles/PMC11439082/
albo-timor-2023-str-genotyping,article,2023,"Albó Timor A, Lucati F, Bartumeus F, Caner J, Escartin S, Mariani S, Palmer JRB, Ventura M",A fast and inexpensive genotyping system for the simultaneous analysis of human and Aedes albopictus short tandem repeats,Parasites & Vectors,10.1186/s13071-023-05977-w,https://link.springer.com/article/10.1186/s13071-023-05977-w,https://pmc.ncbi.nlm.nih.gov/articles/PMC10557338/
carney-2023-anopheles-stephensi,article,2023,"Carney RM, Long A, Low RD, Zohdy S, Palmer JRB, Elias P, Bartumeus F, Njoroge L, Muniafu M, Uelmen JA, et al.",Citizen Science as an Approach for Responding to the Threat of Anopheles stephensi in Africa,Citizen Science: Theory and Practice,10.5334/cstp.616,https://theoryandpractice.citizenscienceassociation.org/articles/10.5334/cstp.616,https://pmc.ncbi.nlm.nih.gov/articles/PMC11010391/
dekramanjian-2023-analog-digital,article,2023,"Dekramanjian B, Bartumeus F, Kampen H, Palmer JRB, Werner D, Pernat N",Demographic and motivational differences between participants in analog and digital citizen science projects for monitoring mosquitoes,Scientific Reports,10.1038/s41598-023-38656-y,https://www.nature.com/articles/s41598-023-38656-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC10390545/
uelmen-2023-gmod,article,2023,"Uelmen JA, Clark A, Palmer J, Kohler J, Van Dyke LC, Low R, Mapes CD, Carney RM",Global mosquito observations dashboard (GMOD): creating a user-friendly web interface fueled by citizen science to monitor invasive and vector mosquitoes,International Journal of Health Geographics,10.1186/s12942-023-00350-7,https://link.springer.com/article/10.1186/s12942-023-00350-7,https://pmc.ncbi.nlm.nih.gov/articles/PMC10612222/
carney-2022-global-citizen-science,article,2022,"Carney R, Mapes C, Low R, Long A, Bowser A, Durieux D, Rivera K, Dekramanjian B, Bartumeus F, Guerrero D, et al.",Integrating Global Citizen Science Platforms to Enable Next-Generation Surveillance of Invasive and Vector Mosquitoes,Insects,10.3390/insects13080675,https://www.mdpi.com/2075-4450/13/8/675,https://pmc.ncbi.nlm.nih.gov/articles/PMC9409379/
chen-2022-covid-surveillance,article,2022,"Chen GJ, Palmer JRB, Bartumeus F, Alba-Casals A",Modeling the impact of surveillance activities combined with physical distancing interventions on COVID-19 epidemics at a local level,Infectious Disease Modelling,10.1016/j.idm.2022.11.001,https://www.sciencedirect.com/science/article/pii/S2468042722000847,https://pmc.ncbi.nlm.nih.gov/articles/PMC9670679/
juznic-zonta-2022-mosquito-alert-gbif,article,2022,"Južnič-Zonta Ž, Sanpera-Calbet I, Eritja R, Palmer JRB, Escobar A, Garriga J, Oltra A, Richter-Boix A, Schaffner F, della Torre A, et al.",Mosquito alert: leveraging citizen science to create a GBIF mosquito occurrence dataset,GigaByte,10.46471/gigabyte.54,https://gigabytejournal.com/articles/54,https://pmc.ncbi.nlm.nih.gov/articles/PMC9930537/
lucati-2022-albopictus-iberia,article,2022,"Lucati F, Delacour S, Palmer JRB, Caner J, Oltra A, Paredes-Esquivel C, Mariani S, Escartin S, Roiz D, Collantes F, et al.","Multiple invasions, Wolbachia and human-aided transport drive the genetic variability of Aedes albopictus in the Iberian Peninsula",Scientific Reports,10.1038/s41598-022-24963-3,https://www.nature.com/articles/s41598-022-24963-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC9712423/
