dimension,category,share,lower,upper,n
hour,0,0.0124,0.0101,0.0146,2847
hour,1,0.0079,0.0064,0.0093,2847
hour,2,0.0056,0.0046,0.0066,2847
hour,3,0.0045,0.0037,0.0053,2847
hour,4,0.0045,0.0037,0.0053,2847
hour,5,0.0067,0.0055,0.0080,2847
hour,6,0.0146,0.0120,0.0172,2847
hour,7,0.0315,0.0258,0.0371,2847
hour,8,0.0494,0.0405,0.0583,2847
hour,9,0.0551,0.0451,0.0650,2847
hour,10,0.0483,0.0396,0.0570,2847
hour,11,0.0404,0.0332,0.0477,2847
hour,12,0.0360,0.0295,0.0424,2847
hour,13,0.0337,0.0276,0.0398,2847
hour,14,0.0348,0.0286,0.0411,2847
hour,15,0.0393,0.0322,0.0464,2847
hour,16,0.0472,0.0387,0.0557,2847
hour,17,0.0629,0.0516,0.0742,2847
hour,18,0.0876,0.0719,0.1034,2847
hour,19,0.1090,0.0894,0.1286,2847
hour,20,0.1135,0.0931,0.1339,2847
hour,21,0.0820,0.0673,0.0968,2847
hour,22,0.0472,0.0387,0.0557,2847
hour,23,0.0258,0.0212,0.0305,2847
month,1,0.0020,0.0016,0.0024,2847
month,2,0.0020,0.0016,0.0024,2847
month,3,0.0040,0.0033,0.0047,2847
month,4,0.0120,0.0098,0.0142,2847
month,5,0.0360,0.0295,0.0425,2847
month,6,0.0900,0.0738,0.1062,2847
month,7,0.1840,0.1509,0.2171,2847
month,8,0.2480,0.2034,0.2926,2847
month,9,0.2210,0.1812,0.2608,2847
month,10,0.1360,0.1115,0.1605,2847
month,11,0.0500,0.0410,0.0590,2847
month,12,0.0150,0.0123,0.0177,2847
setting,outdoor,0.7700,,,2847
setting,indoor,0.2300,,,2847
