kind,code,season,share,lower,upper,rate,n
activity,eat_outdoors,all,0.23000,0.21500,0.24500,1.7,1000
activity,walking,all,0.18000,0.16500,0.19500,1.1,1000
activity,gardening,all,0.15000,0.13500,0.16500,1.4,1000
activity,sport,all,0.13000,0.11500,0.14500,1.2,1000
activity,work,all,0.11000,0.09500,0.12500,0.8,1000
activity,socialising,all,0.09000,0.07500,0.10500,1.3,1000
activity,commuting,all,0.07000,0.05500,0.08500,0.7,1000
activity,other_activity,all,0.04000,0.02500,0.05500,0.9,1000
activity,eat_outdoors,summer,0.26953,0.25453,0.28453,1.7,1000
activity,walking,summer,0.14062,0.12562,0.15562,1.1,1000
activity,gardening,summer,0.17578,0.16078,0.19078,1.4,1000
activity,sport,summer,0.10156,0.08656,0.11656,1.2,1000
activity,work,summer,0.12891,0.11391,0.14391,0.8,1000
activity,socialising,summer,0.07031,0.05531,0.08531,1.3,1000
activity,commuting,summer,0.08203,0.06703,0.09703,0.7,1000
activity,other_activity,summer,0.03125,0.01625,0.04625,0.9,1000
activity,eat_outdoors,rest,0.18852,0.17352,0.20352,1.7,1000
activity,walking,rest,0.22131,0.20631,0.23631,1.1,1000
activity,gardening,rest,0.12295,0.10795,0.13795,1.4,1000
activity,sport,rest,0.15984,0.14484,0.17484,1.2,1000
activity,work,rest,0.09016,0.07516,0.10516,0.8,1000
activity,socialising,rest,0.11066,0.09566,0.12566,1.3,1000
activity,commuting,rest,0.05738,0.04238,0.07238,0.7,1000
activity,other_activity,rest,0.04918,0.03418,0.06418,0.9,1000
place_type,home_garden,all,0.24000,0.22500,0.25500,1.2,1000
place_type,street,all,0.18000,0.16500,0.19500,1,1000
place_type,park,all,0.16000,0.14500,0.17500,1.5,1000
place_type,terrace,all,0.14000,0.12500,0.15500,1.4,1000
place_type,workplace,all,0.10000,0.08500,0.11500,0.8,1000
place_type,home_indoors,all,0.08000,0.06500,0.09500,0.5,1000
place_type,transport,all,0.06000,0.04500,0.07500,0.6,1000
place_type,other_place,all,0.04000,0.02500,0.05500,0.8,1000
place_type,home_garden,summer,0.28125,0.26625,0.29625,1.2,1000
place_type,street,summer,0.14063,0.12562,0.15563,1,1000
place_type,park,summer,0.18750,0.17250,0.20250,1.5,1000
place_type,terrace,summer,0.10938,0.09438,0.12437,1.4,1000
place_type,workplace,summer,0.11719,0.10219,0.13219,0.8,1000
place_type,home_indoors,summer,0.06250,0.04750,0.07750,0.5,1000
place_type,transport,summer,0.07031,0.05531,0.08531,0.6,1000
place_type,other_place,summer,0.03125,0.01625,0.04625,0.8,1000
place_type,home_garden,rest,0.19672,0.18172,0.21172,1.2,1000
place_type,street,rest,0.22131,0.20631,0.23631,1,1000
place_type,park,rest,0.13115,0.11615,0.14615,1.5,1000
place_type,terrace,rest,0.17213,0.15713,0.18713,1.4,1000
place_type,workplace,rest,0.08197,0.06697,0.09697,0.8,1000
place_type,home_indoors,rest,0.09836,0.08336,0.11336,0.5,1000
place_type,transport,rest,0.04918,0.03418,0.06418,0.6,1000
place_type,other_place,rest,0.04918,0.03418,0.06418,0.8,1000
