h3,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
873940013ffffff,15,15,15,17,19,22,24,25,23,19,17,15,low
873940064ffffff,25,24,26,29,32,37,41,42,39,33,28,25,low
87394009bffffff,35,34,36,40,45,52,57,59,54,46,39,36,low
87394010bffffff,45,44,46,52,58,67,73,76,70,59,51,46,low
873940114ffffff,21,20,21,24,27,31,34,35,32,27,23,21,low
87394019cffffff,31,30,32,35,40,46,50,52,48,40,35,31,low
873940464ffffff,41,40,42,47,53,61,67,69,64,53,46,42,low
873940509ffffff,16,16,17,19,22,25,27,28,26,22,19,17,low
873940533ffffff,26,26,27,31,35,40,44,45,42,35,30,27,low
873940822ffffff,36,36,38,42,48,54,60,62,57,48,41,37,low
873940871ffffff,46,46,48,54,61,69,76,79,73,61,52,48,low
8739408aaffffff,22,22,23,26,29,33,37,38,35,29,25,23,low
8739408c1ffffff,32,32,34,37,42,48,53,55,51,43,37,33,low
873940912ffffff,42,42,44,49,55,63,70,72,66,56,48,43,low
873940969ffffff,18,18,19,21,24,27,30,31,29,24,21,19,low
873940b32ffffff,28,28,29,33,37,42,46,48,44,37,32,29,low
873940b9cffffff,38,38,40,44,50,57,63,65,60,50,43,39,low
873940c23ffffff,48,48,50,56,63,72,79,82,76,64,54,50,low
873940c71ffffff,24,24,25,28,32,36,40,41,38,32,27,25,low
873940cabffffff,34,34,35,39,45,51,56,58,54,45,39,35,low
873940cc1ffffff,44,44,46,51,58,66,73,75,69,58,50,45,low
873940d12ffffff,20,20,21,23,26,30,33,34,31,26,23,21,low
873940d69ffffff,30,30,31,35,39,45,49,51,47,39,34,31,low
873940d9affffff,40,40,41,46,52,60,66,68,63,53,45,41,low
873944064ffffff,16,16,16,18,21,24,26,27,25,21,18,16,low
8739440adffffff,26,26,27,30,34,39,43,44,41,34,29,27,low
8739440eeffffff,36,36,37,42,47,54,59,61,56,47,41,37,low
873944114ffffff,46,45,48,53,60,69,75,78,72,60,52,47,low
873944156ffffff,22,22,23,25,28,33,36,37,34,29,25,22,low
87394419cffffff,32,31,33,37,42,47,52,54,50,42,36,33,low
873944202ffffff,42,41,43,48,55,62,69,71,66,55,47,43,low
873944250ffffff,18,17,18,20,23,26,29,30,28,23,20,18,low
87394428affffff,28,27,29,32,36,41,45,47,43,36,31,28,low
8739442d8ffffff,38,37,39,44,49,56,62,64,59,50,43,39,low
873944335ffffff,48,47,49,55,62,71,78,81,75,63,54,49,low
873944348ffffff,24,23,24,27,31,35,39,40,37,31,27,24,low
873944376ffffff,33,33,35,39,44,50,55,57,53,44,38,34,low
873944385ffffff,43,43,45,50,57,65,72,74,68,57,49,45,low
87394441effffff,19,19,20,22,25,29,32,33,30,26,22,20,low
873944464ffffff,29,29,30,34,38,44,48,50,46,39,33,30,low
8739444e8ffffff,39,39,41,46,52,59,65,67,62,52,45,40,low
873944533ffffff,15,15,16,18,20,23,25,26,24,20,17,16,low
873944556ffffff,25,25,26,29,33,38,42,43,40,33,29,26,low
87394459cffffff,35,35,37,41,46,53,58,60,55,46,40,36,low
873944602ffffff,45,45,47,52,59,68,74,77,71,60,51,47,low
873944650ffffff,21,21,22,25,28,32,35,36,33,28,24,22,low
87394468affffff,31,31,32,36,41,47,51,53,49,41,35,32,low
8739446d8ffffff,41,41,43,48,54,62,68,70,65,54,47,42,low
873944735ffffff,17,17,18,20,22,25,28,29,27,22,19,18,low
873944748ffffff,27,27,28,31,35,40,44,46,42,36,31,28,low
873944776ffffff,37,37,38,43,48,55,61,63,58,49,42,38,low
873944785ffffff,47,47,49,54,62,70,77,80,74,62,53,48,low
873944823ffffff,23,23,24,27,30,34,38,39,36,30,26,24,low
873944871ffffff,33,33,34,38,43,49,54,56,52,43,37,34,low
8739448abffffff,43,42,44,50,56,64,71,73,67,57,49,44,low
8739448ceffffff,19,19,20,22,25,28,31,32,30,25,21,19,low
873944912ffffff,29,29,30,33,38,43,47,49,45,38,33,30,low
873944969ffffff,39,38,40,45,51,58,64,66,61,51,44,40,low
873944a66ffffff,15,15,15,17,19,22,24,25,23,19,17,15,low
873944aadffffff,25,24,26,29,32,37,41,42,39,33,28,25,low
873944aeeffffff,35,34,36,40,45,52,57,59,54,46,39,36,low
873944b0bffffff,45,44,46,52,58,67,73,76,70,59,51,46,low
873944b14ffffff,21,20,21,24,27,31,34,35,32,27,23,21,low
873944b9cffffff,31,30,32,35,40,46,50,52,48,40,35,31,low
873944c23ffffff,41,40,42,47,53,61,67,69,64,53,46,42,low
873944c71ffffff,16,16,17,19,22,25,27,28,26,22,19,17,low
873944cabffffff,26,26,27,31,35,40,44,45,42,35,30,27,low
873944cb4ffffff,36,36,38,42,48,54,60,62,57,48,41,37,low
873944cceffffff,46,46,48,54,61,69,76,79,73,61,52,48,low
873944d12ffffff,22,22,23,26,29,33,37,38,35,29,25,23,low
873944d69ffffff,32,32,34,37,42,48,53,55,51,43,37,33,low
873945422ffffff,42,42,44,49,55,63,70,72,66,56,48,43,low
8739454aaffffff,18,18,19,21,24,27,30,31,29,24,21,19,low
8739455a1ffffff,28,28,29,33,37,42,46,48,44,37,32,29,low
873945934ffffff,38,38,40,44,50,57,63,65,60,50,43,39,low
873945984ffffff,48,48,50,56,63,72,79,82,76,64,54,50,low
873945c15ffffff,24,24,25,28,32,36,40,41,38,32,27,25,low
873945c50ffffff,34,34,35,39,45,51,56,58,54,45,39,35,low
873945c9dffffff,44,44,46,51,58,66,73,75,69,58,50,45,low
873945cdaffffff,20,20,21,23,26,30,33,34,31,26,23,21,low
873945d34ffffff,30,30,31,35,39,45,49,51,47,39,34,31,low
873945d48ffffff,40,40,41,46,52,60,66,68,63,53,45,41,low
873945d76ffffff,16,16,16,18,21,24,26,27,25,21,18,16,low
873945d80ffffff,26,26,27,30,34,39,43,44,41,34,29,27,low
