municipality_code,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
900001,42,42,44,49,55,63,70,72,66,56,48,43,low
900002,33,33,35,39,44,50,55,57,53,44,38,34,low
900003,28,28,29,33,37,42,46,48,44,37,32,29,low
900004,36,36,38,42,48,54,60,62,57,48,41,37,low
900005,39,38,40,45,51,58,64,66,61,51,44,40,low
900006,35,34,36,40,45,52,57,59,54,46,39,36,low
900007,32,32,34,37,42,48,53,55,51,43,37,33,low
900008,36,36,37,42,47,54,59,61,56,47,41,37,low
900009,34,34,35,39,45,51,56,58,54,45,39,35,low
900010,26,26,27,31,35,40,44,45,42,35,30,27,low
900011,31,30,32,35,40,46,50,52,48,40,35,31,low
900012,29,29,30,33,38,43,47,49,45,38,33,30,low
