dimension,category,share,lower,upper,n
hour,0,0.00570,0.00000,0.01770,1000
hour,1,0.00570,0.00000,0.01770,1000
hour,2,0.00570,0.00000,0.01770,1000
hour,3,0.00570,0.00000,0.01770,1000
hour,4,0.00855,0.00000,0.02055,1000
hour,5,0.01140,0.00000,0.02340,1000
hour,6,0.01425,0.00225,0.02625,1000
hour,7,0.01994,0.00794,0.03194,1000
hour,8,0.02564,0.01364,0.03764,1000
hour,9,0.03134,0.01934,0.04334,1000
hour,10,0.03704,0.02504,0.04904,1000
hour,11,0.03989,0.02789,0.05189,1000
hour,12,0.04558,0.03358,0.05758,1000
hour,13,0.05128,0.03928,0.06328,1000
hour,14,0.05698,0.04498,0.06898,1000
hour,15,0.06553,0.05353,0.07753,1000
hour,16,0.06838,0.05638,0.08038,1000
hour,17,0.07692,0.06492,0.08892,1000
hour,18,0.10826,0.09626,0.12026,1000
hour,19,0.12251,0.11051,0.13451,1000
hour,20,0.10541,0.09341,0.11741,1000
hour,21,0.05128,0.03928,0.06328,1000
hour,22,0.02564,0.01364,0.03764,1000
hour,23,0.01140,0.00000,0.02340,1000
month,1,0.00943,0.00000,0.02143,1000
month,2,0.01415,0.00215,0.02615,1000
month,3,0.01887,0.00687,0.03087,1000
month,4,0.03302,0.02102,0.04502,1000
month,5,0.05660,0.04460,0.06860,1000
month,6,0.11321,0.10121,0.12521,1000
month,7,0.21226,0.20026,0.22426,1000
month,8,0.22642,0.21442,0.23842,1000
month,9,0.16981,0.15781,0.18181,1000
month,10,0.07075,0.05875,0.08275,1000
month,11,0.04245,0.03045,0.05445,1000
month,12,0.03302,0.02102,0.04502,1000
setting,indoor,0.31000,0.29800,0.32200,1000
setting,outdoor,0.69000,0.67800,0.70200,1000
